# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
aat	ER3413_904	AIZ54735	protein_coding	0	0	0	51	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	35
abgA	ER3413_1366	AIZ51146	protein_coding	0	1	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	4
abgB	ER3413_1365	AIZ51145	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
abgR	ER3413_1367	AIZ51147	protein_coding	0	1	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	3
abgT	ER3413_1364	AIZ51144	protein_coding	1	1	0	5	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	2
abrB	ER3413_729	AIZ54555	protein_coding	0	0	0	138	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	136
accA	ER3413_187	AIZ51633	protein_coding	0	5	13	143	0	0	0	0	79	0	0	13	0	0	0	0	0	0	0	5	64
accB	ER3413_3340	AIZ53044	protein_coding	0	1	0	70	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	39
accC	ER3413_3341	AIZ53045	protein_coding	0	5	2	53	0	0	0	0	27	0	0	2	0	0	0	0	0	0	0	5	26
accD	ER3413_2393	AIZ52136	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2
aceA	ER3413_4144	AIZ53818	protein_coding	0	1	2	19	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	18
aceB	ER3413_4143	AIZ53817	protein_coding	0	2	5	20	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	2	17
aceE	ER3413_109	AIZ50872	protein_coding	0	10	0	90	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	10	22
aceF	ER3413_110	AIZ50884	protein_coding	0	13	0	115	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	13	23
aceK	ER3413_4146	AIZ53820	protein_coding	0	0	0	48	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	16
ackA	ER3413_2373	AIZ52115	protein_coding	0	0	1	84	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	60
acnA	ER3413_1297	AIZ51078	protein_coding	0	1	1	45	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	1	1
acnB	ER3413_113	AIZ50914	protein_coding	0	57	0	94	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	57	79
acpH	ER3413_413	AIZ53809	protein_coding	0	0	1	26	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	12
acpP	ER3413_1123	AIZ50907	protein_coding	0	0	0	26	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	6
acpS	ER3413_2645	AIZ52382	protein_coding	0	0	2	106	0	0	0	0	92	0	0	2	0	0	0	0	0	0	0	0	14
acpT	ER3413_3566	AIZ53270	protein_coding	0	0	0	79	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	49
acrA	ER3413_474	AIZ54314	protein_coding	0	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14
acrB	ER3413_473	AIZ54313	protein_coding	0	1	1	5	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	1
acrD	ER3413_2545	AIZ52282	protein_coding	0	0	1	52	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	48
acrE	ER3413_3350	AIZ53053	protein_coding	0	2	3	58	0	0	0	0	37	0	0	3	0	0	0	0	0	0	0	2	21
acrF	ER3413_3351	AIZ53054	protein_coding	1	5	10	63	0	0	0	0	43	0	0	10	0	0	0	0	1	0	0	5	20
acrR	ER3413_475	AIZ54315	protein_coding	0	0	0	33	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3
acrZ	ER3413_779	AIZ54599	protein_coding	0	0	1	4	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1
acs	ER3413_4207	AIZ53879	protein_coding	1	10	12	177	0	0	0	0	59	0	0	12	0	0	0	0	1	0	0	10	118
actP	ER3413_4205	AIZ53877	protein_coding	1	17	3	240	0	0	0	0	116	0	0	3	0	0	0	0	1	0	0	17	124
acuI	ER3413_3337	AIZ53043	protein_coding	0	0	0	87	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	73
ada	ER3413_2285	AIZ52026	protein_coding	0	2	2	38	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	2	30
add	ER3413_1660	AIZ51419	protein_coding	0	9	6	26	0	0	0	0	13	0	0	6	0	0	0	0	0	0	0	9	13
ade	ER3413_3778	AIZ53478	protein_coding	1	1	1	80	0	0	0	0	78	1	0	1	0	0	0	0	0	0	0	1	2
adhE	ER3413_1259	AIZ51038	protein_coding	0	4	6	71	0	0	0	0	53	0	0	6	0	0	0	0	0	0	0	4	18
adhP	ER3413_1513	AIZ51274	protein_coding	2	13	8	116	0	0	0	0	71	2	0	8	0	0	0	0	0	0	0	13	45
adiA	ER3413_4259	AIZ53931	protein_coding	0	0	0	73	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	64
adiC	ER3413_4257	AIZ53929	protein_coding	0	0	1	25	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	2
adiY	ER3413_4258	AIZ53930	protein_coding	1	0	0	29	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	5
adk	ER3413_486	AIZ54326	protein_coding	0	2	1	100	0	0	0	0	73	0	0	1	0	0	0	0	0	0	0	2	27
aegA	ER3413_2543	AIZ52280	protein_coding	0	10	3	37	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	10	36
aer	ER3413_3163	AIZ52865	protein_coding	0	0	0	40	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	18
aes	ER3413_487	AIZ54327	protein_coding	0	9	3	79	0	0	0	0	56	0	0	3	0	0	0	0	0	0	0	9	23
afuC	ER3413_268	AIZ52415	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
agaB	ER3413_3231	AIZ52932	protein_coding	2	3	18	23	0	0	0	0	8	0	0	18	0	0	1	1	1	0	0	2	15
agaC	ER3413_3232	AIZ52933	protein_coding	0	1	2	44	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	40
agaD	ER3413_3233	AIZ52934	protein_coding	0	1	0	47	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	43
agaI	ER3413_3234	AIZ52935	protein_coding	0	0	0	53	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	44
agaR	ER3413_3223	AIZ52926	protein_coding	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
agaS	ER3413_3229	AIZ52929	protein_coding	0	2	0	48	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	2	6
agaV	ER3413_3225	AIZ52928	protein_coding	0	0	0	50	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	6
agp	ER3413_1025	AIZ50813	protein_coding	0	8	12	176	0	0	0	0	107	0	0	12	0	0	0	0	0	0	0	8	69
ahpC	ER3413_617	AIZ54454	protein_coding	0	0	1	9	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0
ahpF	ER3413_619	AIZ54455	protein_coding	0	5	1	4	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	5	1
aidB	ER3413_4333	AIZ54009	protein_coding	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9
ais	ER3413_2327	AIZ52067	protein_coding	0	2	3	57	0	0	0	0	38	0	0	3	0	0	0	0	0	0	0	2	19
alaA	ER3413_2366	AIZ52108	protein_coding	0	0	0	92	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	32
alaC	ER3413_2461	AIZ52199	protein_coding	0	0	1	13	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	12
alaE	ER3413_2743	AIZ52472	protein_coding	0	1	0	49	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	1	0
alaS	ER3413_2774	AIZ52494	protein_coding	0	0	0	42	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	26
alaT	ER3413_3964	ER3413_3964-1	protein_coding	0	0	0	107	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	55
alaU	ER3413_3363	ER3413_3363-1	protein_coding	1	0	0	61	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	40
alaV	ER3413_206	ER3413_206-1	protein_coding	0	0	0	53	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	19
alaW	ER3413_2478	ER3413_2478-1	protein_coding	0	0	0	84	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	67
alaX	ER3413_2477	ER3413_2477-1	protein_coding	0	0	0	84	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	67
aldA	ER3413_1445	AIZ51217	protein_coding	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10
aldB	ER3413_3696	AIZ53395	protein_coding	0	2	1	42	0	0	0	0	40	0	0	1	0	0	0	0	0	0	0	2	2
alkA	ER3413_2130	AIZ51878	protein_coding	0	4	10	168	0	0	0	0	121	0	0	10	0	0	0	0	0	0	0	4	47
alkB	ER3413_2284	AIZ52025	protein_coding	0	0	1	56	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	28
allA	ER3413_515	AIZ54356	protein_coding	0	0	0	47	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	6
allB	ER3413_521	AIZ54362	protein_coding	0	18	4	113	0	0	0	0	86	0	0	4	0	0	0	0	0	0	0	18	27
allC	ER3413_525	AIZ54365	protein_coding	2	15	13	155	0	0	0	0	74	0	0	13	0	0	0	0	2	0	0	15	81
allD	ER3413_526	AIZ54366	protein_coding	1	6	6	172	0	0	0	0	93	0	0	6	0	0	0	0	1	0	0	6	79
allR	ER3413_516	AIZ54357	protein_coding	0	2	2	43	0	0	0	0	37	0	0	2	0	0	0	0	0	0	0	2	6
allS	ER3413_514	AIZ54355	protein_coding	0	2	0	79	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	42
alpA	ER3413_4532	AIZ54197	protein_coding	0	0	0	23	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1
alr	ER3413_4188	AIZ53860	protein_coding	0	0	1	42	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	41
alsA	ER3413_4229	AIZ53900	protein_coding	1	23	29	81	0	0	0	0	33	1	0	29	0	0	0	0	0	0	0	23	48
alsB	ER3413_4230	AIZ53902	protein_coding	0	3	1	143	0	0	0	0	89	0	0	1	0	0	0	0	0	0	0	3	54
alsC	ER3413_4228	AIZ53899	protein_coding	0	2	2	128	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	2	98
alsE	ER3413_4227	AIZ53898	protein_coding	0	3	9	103	0	0	0	0	18	0	0	9	0	0	0	0	0	0	0	3	85
alsK	ER3413_4226	AIZ53897	protein_coding	2	2	9	101	0	0	0	0	9	2	0	9	0	0	0	0	0	0	0	2	92
alx	ER3413_3180	AIZ52883	protein_coding	0	7	3	142	0	0	0	0	69	0	0	3	0	0	0	0	0	0	0	7	73
amiA	ER3413_2519	AIZ52254	protein_coding	0	4	3	162	0	0	0	0	53	0	0	3	0	0	0	0	0	0	0	4	109
amiB	ER3413_4315	AIZ53989	protein_coding	0	0	0	43	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	1
amiC	ER3413_2904	AIZ52618	protein_coding	0	1	0	79	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	1	40
amiD	ER3413_887	AIZ54716	protein_coding	0	12	7	47	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	12	40
amn	ER3413_2044	AIZ51800	protein_coding	1	5	10	209	1	0	0	0	130	0	0	9	0	0	0	0	1	0	0	5	79
ampC	ER3413_4296	AIZ53970	protein_coding	3	5	5	43	0	0	0	0	1	0	0	5	0	0	0	0	3	0	0	5	42
ampD	ER3413_105	AIZ50835	protein_coding	0	2	0	93	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	68
ampE	ER3413_106	AIZ50844	protein_coding	0	0	1	94	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	70
ampG	ER3413_442	AIZ54095	protein_coding	0	12	5	51	0	0	0	0	41	0	0	5	0	0	0	0	0	0	0	12	10
ampH	ER3413_382	AIZ53519	protein_coding	0	4	1	119	0	0	0	0	59	0	0	1	0	0	0	0	0	0	0	4	60
amtB	ER3413_462	AIZ54293	protein_coding	0	0	0	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	18
amyA	ER3413_1981	AIZ51743	protein_coding	1	8	5	98	0	0	0	0	41	1	0	5	0	0	0	0	0	0	0	8	57
anmK	ER3413_1678	AIZ51437	protein_coding	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
ansA	ER3413_1813	AIZ51573	protein_coding	0	0	0	65	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	53
ansB	ER3413_3045	AIZ52755	protein_coding	0	0	1	102	0	0	0	0	41	0	0	1	0	0	0	0	0	0	0	0	61
ansP	ER3413_1486	AIZ51253	protein_coding	0	14	8	112	0	0	0	0	46	0	0	8	0	0	0	0	0	0	0	14	66
apaG	ER3413_45	AIZ54161	protein_coding	0	1	0	61	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	40
apaH	ER3413_44	AIZ54078	protein_coding	0	10	1	52	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	10	41
apbE	ER3413_2286	AIZ52027	protein_coding	0	0	1	42	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	30
aph	ER3413_3475	AIZ53178	protein_coding	0	0	0	87	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	77
aphA	ER3413_4192	AIZ53863	protein_coding	0	0	0	36	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	29
appA	ER3413_1003	AIZ50789	protein_coding	0	4	1	38	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	4	23
appB	ER3413_1002	AIZ50788	protein_coding	0	0	0	48	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	30
appC	ER3413_1001	AIZ50787	protein_coding	0	6	9	33	0	0	0	0	18	0	0	9	0	0	0	0	0	0	0	6	15
appY	ER3413_570	AIZ54405	protein_coding	0	2	1	72	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	2	64
apt	ER3413_480	AIZ54321	protein_coding	0	0	0	57	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	30
aqpZ	ER3413_894	AIZ54724	protein_coding	0	0	2	63	0	0	0	0	59	0	0	2	0	0	0	0	0	0	0	0	4
araA	ER3413_57	AIZ54404	protein_coding	0	20	3	209	0	0	0	0	98	0	0	3	0	0	0	0	0	0	0	20	111
araB	ER3413_58	AIZ54414	protein_coding	0	16	4	260	0	0	0	0	120	0	0	4	0	0	0	0	0	0	0	16	140
araC	ER3413_59	AIZ54425	protein_coding	0	10	0	242	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	10	85
araD	ER3413_56	AIZ54396	protein_coding	0	17	1	160	0	0	0	0	69	0	0	1	0	0	0	0	0	0	0	17	91
araE	ER3413_2930	AIZ52645	protein_coding	0	1	6	75	0	0	0	0	64	0	0	6	0	0	0	0	0	0	0	1	11
araF	ER3413_1952	AIZ51718	protein_coding	0	0	0	47	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	8
araG	ER3413_1951	AIZ51717	protein_coding	0	8	4	40	0	0	0	0	35	0	0	4	0	0	0	0	0	0	0	8	5
araH	ER3413_1950	AIZ51716	protein_coding	0	2	0	57	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	2	17
araJ	ER3413_403	AIZ53716	protein_coding	0	7	13	41	0	0	0	0	13	0	0	13	0	0	0	0	0	0	0	7	28
arcA	ER3413_4513	AIZ54176	protein_coding	0	0	7	137	0	0	0	0	105	0	0	7	0	0	0	0	0	0	0	0	32
arfA	ER3413_4618	AIZ54291	protein_coding	0	0	0	48	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	41
arfB	ER3413_194	AIZ51705	protein_coding	0	4	8	179	0	0	0	0	93	0	0	8	0	0	0	0	0	0	0	4	86
argA	ER3413_2905	AIZ52619	protein_coding	0	9	7	56	0	0	0	0	30	0	0	7	0	0	0	0	0	0	0	9	26
argB	ER3413_4081	AIZ53768	protein_coding	1	1	0	154	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	1	112
argC	ER3413_4080	AIZ53767	protein_coding	0	3	14	139	0	0	0	0	44	0	0	14	0	0	0	0	0	0	0	3	95
argD	ER3413_3446	AIZ53148	protein_coding	0	1	4	8	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	1	1
argE	ER3413_4079	AIZ53765	protein_coding	3	4	29	100	0	0	0	0	60	0	0	29	0	1	0	0	2	1	0	4	40
argG	ER3413_3266	ER3413_3266	pseudogene	0	0	0	34	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	19
argH	ER3413_4082	AIZ53769	protein_coding	0	5	11	135	0	0	0	0	24	0	0	11	0	0	0	0	0	0	0	5	111
argI	ER3413_4396	AIZ54074	protein_coding	0	5	18	166	0	0	0	0	67	0	0	18	0	0	0	0	0	0	0	5	99
argK	ER3413_3006	AIZ52717	protein_coding	0	2	14	33	0	0	0	0	11	0	0	14	0	0	0	0	0	0	0	2	22
argO	ER3413_3011	AIZ52723	protein_coding	0	0	0	47	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	21
argP	ER3413_3004	AIZ52715	protein_coding	0	0	0	108	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	86
argQ	ER3413_2767	ER3413_2767-1	protein_coding	0	0	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
argR	ER3413_3322	AIZ53027	protein_coding	0	0	0	27	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
argS	ER3413_1928	AIZ51693	protein_coding	0	1	7	68	0	0	0	0	61	0	0	7	0	0	0	0	0	0	0	1	7
argT	ER3413_2387	AIZ52130	protein_coding	0	1	3	18	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	1	8
argU	ER3413_546	ER3413_546-1	protein_coding	0	0	0	95	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	40
argV	ER3413_2770	ER3413_2770-1	protein_coding	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
argW	ER3413_2428	ER3413_2428-1	protein_coding	0	1	0	262	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	1	173
argX	ER3413_3908	ER3413_3908-1	protein_coding	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25
argY	ER3413_2769	ER3413_2769-1	protein_coding	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
argZ	ER3413_2768	ER3413_2768-1	protein_coding	0	0	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
ariR	ER3413_1171	AIZ50959	protein_coding	0	0	0	29	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	7
arnA	ER3413_2330	AIZ52070	protein_coding	1	2	1	71	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	2	54
arnB	ER3413_2328	AIZ52068	protein_coding	0	6	7	55	0	0	1	0	14	0	0	6	0	0	0	0	0	0	0	6	41
arnC	ER3413_2329	AIZ52069	protein_coding	0	1	0	72	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	53
arnD	ER3413_2331	AIZ52071	protein_coding	0	0	1	60	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	23
arnE	ER3413_2333	AIZ52073	protein_coding	0	0	0	47	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	20
arnF	ER3413_2335	AIZ52075	protein_coding	0	0	0	46	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	19
arnT	ER3413_2332	AIZ52072	protein_coding	0	5	9	46	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	5	19
aroA	ER3413_929	AIZ54760	protein_coding	0	1	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4
aroB	ER3413_3477	AIZ53180	protein_coding	0	0	0	53	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	8
aroC	ER3413_2408	AIZ52150	protein_coding	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9
aroD	ER3413_1735	AIZ51494	protein_coding	0	0	0	58	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	2
aroE	ER3413_3368	AIZ53062	protein_coding	0	5	2	59	0	0	0	0	47	0	0	2	0	0	0	0	0	0	0	5	12
aroF	ER3413_2682	AIZ52418	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
aroG	ER3413_770	AIZ54591	protein_coding	0	1	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	18
aroH	ER3413_1746	AIZ51506	protein_coding	0	7	6	105	0	0	0	0	61	0	0	6	0	0	0	0	0	0	0	7	44
aroK	ER3413_3478	AIZ53181	protein_coding	0	0	0	34	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	8
aroL	ER3413_396	AIZ53654	protein_coding	0	2	6	73	0	0	0	0	19	0	0	6	0	0	0	0	0	0	0	2	54
aroM	ER3413_398	AIZ53666	protein_coding	0	1	2	82	0	0	0	0	22	0	0	2	0	0	0	0	0	0	0	1	60
aroP	ER3413_107	AIZ50853	protein_coding	0	8	1	89	0	0	0	0	70	0	0	1	0	0	0	0	0	0	0	8	19
arpA	ER3413_4145	AIZ53819	protein_coding	0	0	0	60	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	50
arrS	ER3413_4693	ER3413_4693-1	lincRNA	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
arsB	ER3413_3597	AIZ53298	protein_coding	0	4	8	53	0	0	0	0	9	0	0	8	0	0	0	0	0	0	0	4	44
arsC	ER3413_3598	AIZ53299	protein_coding	0	0	0	64	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	56
arsR	ER3413_3596	AIZ53297	protein_coding	1	3	3	58	0	0	0	0	21	0	0	3	0	0	0	0	1	0	0	3	37
artI	ER3413_882	AIZ54711	protein_coding	0	0	0	125	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	30
artJ	ER3413_879	AIZ54707	protein_coding	0	2	5	114	0	0	0	0	62	0	0	5	0	0	0	0	0	0	0	2	52
artM	ER3413_880	AIZ54709	protein_coding	0	6	7	108	0	0	0	0	71	0	0	7	0	0	0	0	0	0	0	6	37
artP	ER3413_883	AIZ54712	protein_coding	0	0	0	123	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	31
artQ	ER3413_881	AIZ54710	protein_coding	0	4	7	111	0	0	0	0	84	0	0	7	0	0	0	0	0	0	0	4	27
ascB	ER3413_2795	AIZ52515	protein_coding	0	4	4	119	0	0	0	0	78	0	0	4	0	0	0	0	0	0	0	4	41
ascF	ER3413_2794	AIZ52514	protein_coding	0	6	13	91	0	0	0	0	62	0	0	13	0	0	0	0	0	0	0	6	29
